TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,VIDEO_URL,speak_language,category,mrbeast,arborday,teamtrees_org,noteble_youtuber,noteble_entrepreneur,quality,creativity,awareness,event_name
9110547,G5e209faddb0f9,NOK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:14:58 EST","Thursday, 16-Jan-20 16:18:04 EST",3 minute(s) and 6 second(s),https://www.youtube.com/embed/7bsuXsxX950?autoplay=0,speak_yes,spread_word,1,1,1,1,0,high,neutral,high,TeamTrees
9109588,G5e209faddad0a,OK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 14:37:27 EST","Thursday, 16-Jan-20 14:40:15 EST",2 minute(s) and 48 second(s),https://www.youtube.com/embed/MqH8WtR5hWs?autoplay=0,speak_yes,theme_creation_performance,0,0,1,0,0,high,high,neutral,TeamTrees
9109263,G5e209faddad0a,OK,2779e6bc,67.83.37.43,United States,"Thursday, 16-Jan-20 14:20:56 EST","Thursday, 16-Jan-20 14:23:10 EST",2 minute(s) and 14 second(s),https://www.youtube.com/embed/MqH8WtR5hWs?autoplay=0,speak_yes,planting_trees,0,0,1,0,0,very_high,very_high,very_high,TeamTrees
9119709,G5e209faddb0f9,OK,e46e2603,2605:e000:a792:ce00:e140:2a43:18ba:8d9d,United States,"Friday, 17-Jan-20 11:49:10 EST","Friday, 17-Jan-20 11:54:28 EST",5 minute(s) and 18 second(s),https://www.youtube.com/embed/7bsuXsxX950?autoplay=0,speak_yes,knowledge,1,1,1,1,0,very_high,very_high,very_high,TeamTrees
9110825,G5e209faddb0f9,OK,2701dd77,2601:900:8200:e90:3949:e9ef:1977:8dc,United States,"Thursday, 16-Jan-20 19:19:40 EST","Thursday, 16-Jan-20 19:29:09 EST",9 minute(s) and 29 second(s),https://www.youtube.com/embed/7bsuXsxX950?autoplay=0,speak_yes,knowledge,0,1,1,1,1,high,very_high,high,TeamTrees
9110654,G5e209faddb0f9,NOK,eac0a6ed,201.208.11.207,United States,"Thursday, 16-Jan-20 17:11:57 EST","Thursday, 16-Jan-20 17:13:36 EST",1 minute(s) and 39 second(s),https://www.youtube.com/embed/7bsuXsxX950?autoplay=0,speak_yes,planting_trees,1,1,0,1,0,very_high,very_high,very_high,TeamTrees
9110546,G5e209faddb0f9,OK,4a204893,72.252.198.3,Jamaica,"Thursday, 16-Jan-20 16:15:22 EST","Thursday, 16-Jan-20 16:17:44 EST",2 minute(s) and 22 second(s),https://www.youtube.com/embed/7bsuXsxX950?autoplay=0,speak_yes,spread_word,0,1,1,0,0,neutral,neutral,neutral,TeamTrees
9109482,G5e209faddb0f9,NOK,2779e6bc,67.83.37.43,United States,"Thursday, 16-Jan-20 14:31:41 EST","Thursday, 16-Jan-20 14:35:51 EST",4 minute(s) and 10 second(s),https://www.youtube.com/embed/7bsuXsxX950?autoplay=0,speak_yes,theme_creation_object,0,1,1,0,0,low,very_high,very_high,TeamTrees
9109826,G5e209faddae61,OK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 14:40:38 EST","Thursday, 16-Jan-20 14:46:20 EST",5 minute(s) and 42 second(s),https://www.youtube.com/embed/m_IcLoPpwQs?autoplay=0,speak_yes,donating,1,0,1,0,0,high,high,high,TeamTrees
9110438,G5e209faddaba6,OK,d2a83828,208.131.165.138,Jamaica,"Thursday, 16-Jan-20 15:17:23 EST","Thursday, 16-Jan-20 15:30:11 EST",12 minute(s) and 48 second(s),https://www.youtube.com/embed/0k7tgk-5iKo?autoplay=0,speak_yes,live_stream_stat,1,0,0,1,1,high,low,neutral,TeamTrees
9109485,G5e209faddaba6,OK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 14:31:10 EST","Thursday, 16-Jan-20 14:37:12 EST",6 minute(s) and 2 second(s),https://www.youtube.com/embed/0k7tgk-5iKo?autoplay=0,speak_yes,live_stream_stat,1,0,1,1,1,very_high,very_high,very_high,TeamTrees
9109253,G5e209faddaba6,OK,2779e6bc,67.83.37.43,United States,"Thursday, 16-Jan-20 14:17:07 EST","Thursday, 16-Jan-20 14:20:46 EST",3 minute(s) and 39 second(s),https://www.youtube.com/embed/0k7tgk-5iKo?autoplay=0,speak_yes,spread_word,1,0,1,1,1,very_high,very_high,very_high,TeamTrees
9111163,G5e209faddae61,OK,0b087068,2402:800:637c:b5d5:301b:e71d:7337:5de8,Vietnam,"Thursday, 16-Jan-20 23:25:56 EST","Thursday, 16-Jan-20 23:30:09 EST",4 minute(s) and 13 second(s),https://www.youtube.com/embed/m_IcLoPpwQs?autoplay=0,speak_yes,spread_word,0,0,0,0,0,neutral,neutral,neutral,TeamTrees
9110791,G5e209faddae61,OK,4a204893,216.10.217.20,Jamaica,"Thursday, 16-Jan-20 19:01:43 EST","Thursday, 16-Jan-20 19:06:28 EST",4 minute(s) and 45 second(s),https://www.youtube.com/embed/m_IcLoPpwQs?autoplay=0,speak_yes,knowledge,1,0,1,0,0,very_high,very_high,very_high,TeamTrees
9110639,G5e209faddae61,NOK,eac0a6ed,201.208.11.207,United States,"Thursday, 16-Jan-20 17:08:38 EST","Thursday, 16-Jan-20 17:10:54 EST",2 minute(s) and 16 second(s),https://www.youtube.com/embed/m_IcLoPpwQs?autoplay=0,speak_yes,theme_creation_object,1,0,1,0,0,very_high,very_high,very_high,TeamTrees
9110530,G5e209faddae61,NOK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:10:45 EST","Thursday, 16-Jan-20 16:12:11 EST",1 minute(s) and 26 second(s),https://www.youtube.com/embed/m_IcLoPpwQs?autoplay=0,speak_yes,spread_word,1,0,1,1,0,high,neutral,neutral,TeamTrees
9110592,G5e209faddb503,OK,45f3ac2d,79.71.129.218,United Kingdom,"Thursday, 16-Jan-20 16:39:27 EST","Thursday, 16-Jan-20 16:45:26 EST",5 minute(s) and 59 second(s),https://www.youtube.com/embed/NG6qRvbj4UU?autoplay=0,speak_yes,theme_creation_performance,1,1,1,0,0,high,very_high,high,TeamTrees
9108159,G5e209fadda9e1,OK,2779e6bc,67.83.37.43,United States,"Thursday, 16-Jan-20 13:31:14 EST","Thursday, 16-Jan-20 13:35:31 EST",4 minute(s) and 17 second(s),https://www.youtube.com/embed/l9q22egaqGY?autoplay=0,speak_yes,theme_creation_performance,1,0,1,0,1,very_high,very_high,very_high,TeamTrees
9110541,G5e209faddafab,OK,4a204893,72.252.198.3,Jamaica,"Thursday, 16-Jan-20 16:11:39 EST","Thursday, 16-Jan-20 16:15:04 EST",3 minute(s) and 25 second(s),https://www.youtube.com/embed/_evx4uC0Iq4?autoplay=0,speak_yes,theme_creation_performance,1,0,1,1,0,low,low,very_low,TeamTrees
9110560,G5e209faddb7c7,NOK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:23:34 EST","Thursday, 16-Jan-20 16:24:41 EST",1 minute(s) and 7 second(s),https://www.youtube.com/embed/qfemCDzT6uY?autoplay=0,speak_yes,spread_word,1,0,1,1,0,high,neutral,neutral,TeamTrees
9124344,G5e209faddb7c7,OK,6356e68a,2600:8805:800:b01:4123:69f4:9951:9df9,United States,"Friday, 17-Jan-20 18:59:16 EST","Friday, 17-Jan-20 19:14:11 EST",14 minute(s) and 55 second(s),https://www.youtube.com/embed/qfemCDzT6uY?autoplay=0,speak_yes,live_stream_game,1,1,0,1,0,neutral,low,high,TeamTrees
9123242,G5e209faddb7c7,NOK,4995b78b,208.163.45.137,Jamaica,"Friday, 17-Jan-20 17:21:39 EST","Friday, 17-Jan-20 17:23:05 EST",1 minute(s) and 26 second(s),https://www.youtube.com/embed/qfemCDzT6uY?autoplay=0,speak_yes,knowledge,1,0,1,1,1,high,high,high,TeamTrees
9111157,G5e209faddb7c7,OK,0b087068,2402:800:637c:b5d5:301b:e71d:7337:5de8,Vietnam,"Thursday, 16-Jan-20 23:22:09 EST","Thursday, 16-Jan-20 23:25:42 EST",3 minute(s) and 33 second(s),https://www.youtube.com/embed/qfemCDzT6uY?autoplay=0,speak_yes,live_stream_stat,1,0,1,0,1,neutral,neutral,high,TeamTrees
9110945,G5e209faddb7c7,OK,1b7aa48b,74.111.8.182,United States,"Thursday, 16-Jan-20 21:22:11 EST","Thursday, 16-Jan-20 21:22:43 EST",0 minute(s) and 32 second(s),https://www.youtube.com/embed/qfemCDzT6uY?autoplay=0,speak_yes,live_stream_game,1,1,1,1,1,high,high,high,TeamTrees
9110663,G5e209faddb7c7,NOK,5481493a,2a02:c7f:710a:7700:b04e:4d5:758c:a7ad,United Kingdom,"Thursday, 16-Jan-20 17:05:22 EST","Thursday, 16-Jan-20 17:15:19 EST",9 minute(s) and 57 second(s),https://www.youtube.com/embed/qfemCDzT6uY?autoplay=0,speak_yes,spread_word,1,1,0,0,0,neutral,neutral,high,TeamTrees
9110604,G5e209faddb7c7,NOK,eac0a6ed,201.208.11.207,United States,"Thursday, 16-Jan-20 16:55:26 EST","Thursday, 16-Jan-20 16:56:35 EST",1 minute(s) and 9 second(s),https://www.youtube.com/embed/qfemCDzT6uY?autoplay=0,speak_yes,planting_trees,0,0,1,1,0,very_high,very_high,very_high,TeamTrees
9111177,G5e209faddb243,OK,0b087068,2402:800:637c:b5d5:301b:e71d:7337:5de8,Vietnam,"Thursday, 16-Jan-20 23:34:47 EST","Thursday, 16-Jan-20 23:41:25 EST",6 minute(s) and 38 second(s),https://www.youtube.com/embed/pLL4yPpTCBA?autoplay=0,speak_yes,knowledge,1,1,1,0,0,very_high,very_high,high,TeamTrees
9110599,G5e209faddb662,OK,eac0a6ed,201.208.11.207,United States,"Thursday, 16-Jan-20 16:47:43 EST","Thursday, 16-Jan-20 16:51:25 EST",3 minute(s) and 42 second(s),https://www.youtube.com/embed/7EY-C4G8bPU?autoplay=0,speak_yes,planting_trees,1,0,1,0,0,high,very_high,very_high,TeamTrees
9110781,G5e209faddb243,NOK,eac0a6ed,201.208.11.207,United States,"Thursday, 16-Jan-20 18:53:12 EST","Thursday, 16-Jan-20 18:54:22 EST",1 minute(s) and 10 second(s),https://www.youtube.com/embed/pLL4yPpTCBA?autoplay=0,speak_yes,theme_creation_object,0,0,1,0,0,high,very_high,very_high,TeamTrees
9110550,G5e209faddb243,NOK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:18:16 EST","Thursday, 16-Jan-20 16:19:34 EST",1 minute(s) and 18 second(s),https://www.youtube.com/embed/pLL4yPpTCBA?autoplay=0,speak_yes,knowledge,0,0,1,0,0,high,very_high,high,TeamTrees
9110551,G5e209faddb243,OK,4a204893,72.252.198.3,Jamaica,"Thursday, 16-Jan-20 16:17:59 EST","Thursday, 16-Jan-20 16:19:51 EST",1 minute(s) and 52 second(s),https://www.youtube.com/embed/pLL4yPpTCBA?autoplay=0,speak_yes,knowledge,1,1,1,0,0,high,high,high,TeamTrees
9109726,G5e209faddb243,OK,2779e6bc,67.83.37.43,United States,"Thursday, 16-Jan-20 14:40:03 EST","Thursday, 16-Jan-20 14:42:55 EST",2 minute(s) and 52 second(s),https://www.youtube.com/embed/pLL4yPpTCBA?autoplay=0,speak_yes,knowledge,1,1,1,0,0,very_high,very_high,very_high,TeamTrees
9111168,G5e209faddafab,OK,0b087068,2402:800:637c:b5d5:301b:e71d:7337:5de8,Vietnam,"Thursday, 16-Jan-20 23:31:26 EST","Thursday, 16-Jan-20 23:34:36 EST",3 minute(s) and 10 second(s),https://www.youtube.com/embed/_evx4uC0Iq4?autoplay=0,speak_yes,spread_word,1,0,0,0,0,neutral,very_high,high,TeamTrees
9110778,G5e209faddafab,NOK,eac0a6ed,201.208.11.207,United States,"Thursday, 16-Jan-20 18:51:23 EST","Thursday, 16-Jan-20 18:52:46 EST",1 minute(s) and 23 second(s),https://www.youtube.com/embed/_evx4uC0Iq4?autoplay=0,speak_yes,theme_creation_object,0,0,1,0,0,very_high,very_high,very_high,TeamTrees
9110538,G5e209faddafab,NOK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:12:20 EST","Thursday, 16-Jan-20 16:14:28 EST",2 minute(s) and 8 second(s),https://www.youtube.com/embed/_evx4uC0Iq4?autoplay=0,speak_yes,spread_word,1,0,1,1,0,low,low,neutral,TeamTrees
9110559,G5e209faddb662,NOK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:22:13 EST","Thursday, 16-Jan-20 16:23:22 EST",1 minute(s) and 9 second(s),https://www.youtube.com/embed/7EY-C4G8bPU?autoplay=0,speak_yes,spread_word,1,0,1,1,0,neutral,neutral,neutral,TeamTrees
9110600,G5e209faddb662,NOK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 16:48:35 EST","Thursday, 16-Jan-20 16:52:49 EST",4 minute(s) and 14 second(s),https://www.youtube.com/embed/7EY-C4G8bPU?autoplay=0,speak_yes,planting_trees,1,0,1,1,0,very_high,very_high,very_high,TeamTrees
9107011,G5e209fadda9e1,OK,613ce543,76.210.30.168,United States,"Thursday, 16-Jan-20 12:56:49 EST","Thursday, 16-Jan-20 13:07:52 EST",11 minute(s) and 3 second(s),https://www.youtube.com/embed/l9q22egaqGY?autoplay=0,speak_yes,spread_word,1,0,1,0,1,high,high,high,TeamTrees
9110586,G5e209faddba01,NOK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:39:43 EST","Thursday, 16-Jan-20 16:41:35 EST",1 minute(s) and 52 second(s),https://www.youtube.com/embed/ZsWFVEs3GHQ?autoplay=0,speak_yes,spread_word,1,1,1,1,0,high,high,high,TeamTrees
9109327,G5e209fadda9e1,OK,2701dd77,2601:900:8200:e90:3949:e9ef:1977:8dc,United States,"Thursday, 16-Jan-20 14:20:31 EST","Thursday, 16-Jan-20 14:28:27 EST",7 minute(s) and 56 second(s),https://www.youtube.com/embed/l9q22egaqGY?autoplay=0,speak_yes,not_recognized,1,0,1,0,1,high,high,neutral,TeamTrees
9119910,G5e209faddba01,OK,5481493a,2a02:c7f:710a:7700:ddf9:1358:60b3:4c8e,United Kingdom,"Friday, 17-Jan-20 12:26:40 EST","Friday, 17-Jan-20 12:31:08 EST",4 minute(s) and 28 second(s),https://www.youtube.com/embed/ZsWFVEs3GHQ?autoplay=0,speak_yes,theme_creation_performance,1,1,1,0,0,high,high,neutral,TeamTrees
9111097,G5e209faddba01,OK,0b087068,2402:800:637c:b5d5:301b:e71d:7337:5de8,Vietnam,"Thursday, 16-Jan-20 22:54:59 EST","Thursday, 16-Jan-20 23:01:34 EST",6 minute(s) and 35 second(s),https://www.youtube.com/embed/ZsWFVEs3GHQ?autoplay=0,speak_yes,spread_word,1,1,1,0,0,very_high,very_high,very_high,TeamTrees
9110831,G5e209faddba01,OK,2701dd77,2601:900:8200:e90:3949:e9ef:1977:8dc,United States,"Thursday, 16-Jan-20 19:31:12 EST","Thursday, 16-Jan-20 19:36:23 EST",5 minute(s) and 11 second(s),https://www.youtube.com/embed/ZsWFVEs3GHQ?autoplay=0,speak_yes,theme_creation_performance,1,1,1,0,0,high,very_high,high,TeamTrees
9110629,G5e209faddba01,NOK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 17:03:56 EST","Thursday, 16-Jan-20 17:07:55 EST",3 minute(s) and 59 second(s),https://www.youtube.com/embed/ZsWFVEs3GHQ?autoplay=0,speak_yes,theme_creation_object,1,1,1,0,0,very_high,very_high,very_high,TeamTrees
9110618,G5e209faddba01,NOK,eac0a6ed,201.208.11.207,United States,"Thursday, 16-Jan-20 17:03:05 EST","Thursday, 16-Jan-20 17:04:16 EST",1 minute(s) and 11 second(s),https://www.youtube.com/embed/ZsWFVEs3GHQ?autoplay=0,speak_yes,knowledge,0,1,0,0,0,very_high,high,very_high,TeamTrees
9119990,G5e209faddbb40,OK,5481493a,2a02:c7f:710a:7700:ddf9:1358:60b3:4c8e,United Kingdom,"Friday, 17-Jan-20 12:31:16 EST","Friday, 17-Jan-20 12:35:25 EST",4 minute(s) and 9 second(s),https://www.youtube.com/embed/hT0uqXlZ70A?autoplay=0,speak_yes,live_stream_game,0,0,0,0,0,low,very_low,very_low,TeamTrees
9110801,G5e209faddb662,NOK,4a204893,216.10.217.20,Jamaica,"Thursday, 16-Jan-20 19:08:34 EST","Thursday, 16-Jan-20 19:13:36 EST",5 minute(s) and 2 second(s),https://www.youtube.com/embed/7EY-C4G8bPU?autoplay=0,speak_yes,spread_word,1,0,1,0,0,very_high,very_high,very_high,TeamTrees
9111155,G5e209faddbb40,OK,0b087068,2402:800:637c:b5d5:301b:e71d:7337:5de8,Vietnam,"Thursday, 16-Jan-20 23:16:21 EST","Thursday, 16-Jan-20 23:21:57 EST",5 minute(s) and 36 second(s),https://www.youtube.com/embed/hT0uqXlZ70A?autoplay=0,speak_yes,live_stream_game,1,0,1,1,0,neutral,neutral,high,TeamTrees
9110833,G5e209faddbb40,OK,2701dd77,2601:900:8200:e90:3949:e9ef:1977:8dc,United States,"Thursday, 16-Jan-20 19:36:31 EST","Thursday, 16-Jan-20 19:40:46 EST",4 minute(s) and 15 second(s),https://www.youtube.com/embed/hT0uqXlZ70A?autoplay=0,speak_yes,live_stream_game,1,0,0,0,0,high,high,very_high,TeamTrees
9110643,G5e209faddbb40,NOK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 17:08:07 EST","Thursday, 16-Jan-20 17:11:45 EST",3 minute(s) and 38 second(s),https://www.youtube.com/embed/hT0uqXlZ70A?autoplay=0,speak_yes,live_stream_game,0,0,1,0,0,very_high,high,neutral,TeamTrees
9110630,G5e209faddbb40,NOK,eac0a6ed,201.208.11.207,United States,"Thursday, 16-Jan-20 17:07:24 EST","Thursday, 16-Jan-20 17:08:13 EST",0 minute(s) and 49 second(s),https://www.youtube.com/embed/hT0uqXlZ70A?autoplay=0,speak_yes,live_stream_game,0,0,1,1,0,very_high,very_high,very_high,TeamTrees
9110591,G5e209faddbb40,NOK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:42:22 EST","Thursday, 16-Jan-20 16:44:06 EST",1 minute(s) and 44 second(s),https://www.youtube.com/embed/hT0uqXlZ70A?autoplay=0,speak_yes,live_stream_game,1,0,1,1,0,neutral,low,neutral,TeamTrees
9120031,G5e209faddb662,OK,5481493a,2a02:c7f:710a:7700:ddf9:1358:60b3:4c8e,United Kingdom,"Friday, 17-Jan-20 12:38:51 EST","Friday, 17-Jan-20 12:42:09 EST",3 minute(s) and 18 second(s),https://www.youtube.com/embed/7EY-C4G8bPU?autoplay=0,speak_yes,planting_trees,1,0,1,1,0,high,neutral,high,TeamTrees
9111123,G5e209faddb662,OK,0b087068,2402:800:637c:b5d5:301b:e71d:7337:5de8,Vietnam,"Thursday, 16-Jan-20 23:05:59 EST","Thursday, 16-Jan-20 23:10:46 EST",4 minute(s) and 47 second(s),https://www.youtube.com/embed/7EY-C4G8bPU?autoplay=0,speak_yes,theme_creation_performance,1,0,1,0,0,high,neutral,high,TeamTrees
9110525,G5e209faddad0a,OK,4a204893,72.252.198.3,Jamaica,"Thursday, 16-Jan-20 16:08:20 EST","Thursday, 16-Jan-20 16:11:29 EST",3 minute(s) and 9 second(s),https://www.youtube.com/embed/MqH8WtR5hWs?autoplay=0,speak_yes,theme_creation_performance,0,0,1,0,0,very_high,neutral,neutral,TeamTrees
